timepoint,mean_asd,std_asd,mean_tdc,std_tdc,is_top_asd,is_top_tdc
201,7.809996e-06,6.841835e-07,7.1628465e-06,7.735844e-07,True,False
202,7.808742e-06,5.5602e-07,7.506054e-06,1.1735683e-06,True,False
203,7.720159e-06,8.2802967e-07,7.914909e-06,5.688484e-07,True,True
204,7.6084825e-06,2.6039584e-07,7.5862554e-06,9.141866e-07,False,False
205,7.812358e-06,6.20473e-07,7.5167745e-06,6.540591e-07,True,False
206,7.730082e-06,2.954451e-07,7.645572e-06,8.286488e-07,True,True
207,7.276245e-06,4.5695828e-07,7.780154e-06,5.2144725e-07,False,True
208,7.3916103e-06,7.098081e-07,7.4366326e-06,9.3480764e-07,False,False
209,7.67339e-06,6.260017e-07,7.429492e-06,4.2205608e-07,True,False
210,7.659057e-06,4.793887e-07,7.662595e-06,8.4885704e-07,True,True
211,7.314342e-06,7.1736355e-07,7.5201415e-06,9.776064e-07,False,False
212,7.583739e-06,2.4285367e-07,7.5951393e-06,1.1137234e-06,False,False
213,7.160338e-06,3.9768832e-07,7.504054e-06,8.4054454e-07,False,False
214,7.162732e-06,7.1763174e-07,7.4886652e-06,8.433861e-07,False,False
215,7.3682763e-06,7.556061e-07,7.6280257e-06,7.349837e-07,False,False
216,7.316182e-06,3.7722995e-07,7.378071e-06,1.0473506e-06,False,False
217,7.2059906e-06,5.088761e-07,7.4024238e-06,8.331809e-07,False,False
218,7.2461357e-06,5.5900045e-07,7.5187445e-06,7.46847e-07,False,False
219,7.870017e-06,3.6585743e-07,7.428207e-06,8.5887837e-07,True,False
220,7.5755133e-06,4.6506773e-07,7.638741e-06,5.468545e-07,False,True
221,7.4838363e-06,4.124982e-07,7.6412925e-06,5.7247837e-07,False,True
222,7.5137737e-06,4.780055e-07,7.902506e-06,7.192462e-07,False,True
223,7.2305934e-06,6.5873365e-07,7.534613e-06,5.9500405e-07,False,False
224,7.4950162e-06,2.0667994e-07,7.753894e-06,8.2928005e-07,False,True
225,7.4618306e-06,2.921236e-07,7.682755e-06,7.8626346e-07,False,True
226,7.5252124e-06,2.7947587e-07,7.842251e-06,6.954546e-07,False,True
227,7.175657e-06,5.626298e-07,7.4920536e-06,7.5618925e-07,False,False
228,7.5466733e-06,8.0459625e-07,7.491486e-06,7.929045e-07,False,False
229,7.37511e-06,3.9432948e-07,7.2718008e-06,6.00695e-07,False,False
230,7.5334146e-06,6.514727e-07,7.2300563e-06,8.1115354e-07,False,False
231,7.3412375e-06,6.7755246e-07,7.4477794e-06,1.0276844e-06,False,False
232,7.5008766e-06,6.29472e-07,7.3740753e-06,9.0130095e-07,False,False
233,7.9005185e-06,5.144141e-07,6.9015528e-06,4.0242003e-07,True,False
234,7.596148e-06,5.247579e-07,7.461742e-06,7.5485e-07,False,False
235,7.4843824e-06,5.602235e-07,7.469434e-06,7.7642363e-07,False,False
236,7.440285e-06,5.1030963e-07,7.548326e-06,7.734517e-07,False,False
237,7.414577e-06,5.2769025e-07,7.372661e-06,6.7977686e-07,False,False
238,7.6165734e-06,8.780333e-07,7.6020815e-06,8.8965965e-07,False,False
239,6.9653156e-06,2.0982762e-07,7.5047074e-06,9.1120273e-07,False,False
240,7.238558e-06,5.8404333e-07,7.531568e-06,8.5002165e-07,False,False
241,7.532547e-06,5.984749e-07,7.4576615e-06,7.8067956e-07,False,False
242,7.3193005e-06,5.739905e-07,7.5564544e-06,1.0251543e-06,False,False
243,7.4899094e-06,2.9722003e-07,7.4609256e-06,1.1375934e-06,False,False
244,7.3029796e-06,2.9308978e-07,7.5498e-06,8.557072e-07,False,False
245,7.2082985e-06,4.7226462e-07,7.558969e-06,8.686862e-07,False,False
246,7.3870383e-06,5.08284e-07,7.4571462e-06,9.856412e-07,False,False
247,7.608162e-06,6.782983e-07,7.64895e-06,8.768265e-07,False,True
248,7.047128e-06,8.592763e-07,7.6790775e-06,6.829761e-07,False,True
249,7.3829387e-06,4.984119e-07,7.774334e-06,1.0733642e-06,False,True
250,7.1986915e-06,5.349619e-07,7.647944e-06,6.2406616e-07,False,True
251,7.3115284e-06,7.581748e-07,7.4647237e-06,9.724313e-07,False,False
252,7.3345814e-06,2.1281025e-07,7.306075e-06,5.150025e-07,False,False
253,7.5764997e-06,2.6031591e-07,7.1852255e-06,7.7421385e-07,False,False
254,7.4047775e-06,7.9161856e-07,7.4068425e-06,6.758795e-07,False,False
255,7.794794e-06,5.2455056e-07,7.082757e-06,6.2427665e-07,True,False
256,7.527008e-06,5.2557766e-07,7.351425e-06,1.2684454e-06,False,False
257,7.366851e-06,5.264358e-07,7.5566472e-06,5.4149484e-07,False,False
258,7.280095e-06,8.152403e-07,7.635979e-06,8.3132375e-07,False,False
259,7.574906e-06,4.662756e-07,7.5254707e-06,6.2551317e-07,False,False
260,7.647532e-06,3.6995746e-07,7.5183716e-06,5.689984e-07,True,False
261,7.4189243e-06,6.357994e-07,7.253908e-06,1.0856357e-06,False,False
262,7.690203e-06,4.3946255e-07,7.698853e-06,9.363333e-07,True,True
263,7.283664e-06,2.1922483e-07,7.36961e-06,9.739392e-07,False,False
264,7.81032e-06,7.235668e-07,7.4496324e-06,1.0166171e-06,True,False
265,7.487747e-06,6.121796e-07,7.3965602e-06,9.920126e-07,False,False
266,7.4310556e-06,4.831638e-07,7.610123e-06,1.2331027e-06,False,False
267,7.2650028e-06,5.9475434e-07,7.4678183e-06,3.3059754e-07,False,False
268,7.5274584e-06,7.401627e-07,7.698118e-06,4.8216504e-07,False,True
269,8.05541e-06,4.838674e-07,6.7973524e-06,7.220614e-07,True,False
270,7.5071175e-06,4.3841914e-07,7.237639e-06,7.682815e-07,False,False
271,7.678298e-06,6.713275e-07,7.694546e-06,5.0638573e-07,True,True
272,7.371885e-06,4.4341095e-07,7.3765586e-06,1.0394932e-06,False,False
273,7.3152855e-06,5.6313223e-07,7.4296972e-06,4.9154755e-07,False,False
274,7.411968e-06,3.427023e-07,7.2771118e-06,8.534495e-07,False,False
275,7.4965574e-06,6.339275e-07,7.164987e-06,6.305188e-07,False,False
276,7.768374e-06,4.3119007e-07,7.558379e-06,7.3765875e-07,True,False
277,7.640295e-06,5.1196804e-07,7.713305e-06,8.001241e-07,True,True
278,7.576268e-06,7.8035237e-07,7.3860065e-06,9.022316e-07,False,False
279,7.418503e-06,6.7135346e-07,7.673017e-06,9.274108e-07,False,True
280,7.730174e-06,7.1815595e-07,7.738396e-06,1.0123146e-06,True,True
281,7.5180205e-06,7.259947e-07,7.3757183e-06,6.952165e-07,False,False
282,7.654921e-06,3.0385792e-07,7.442182e-06,7.434666e-07,True,False
