timepoint,mean_asd,std_asd,mean_tdc,std_tdc,is_top_asd,is_top_tdc
107,6.9818466e-06,3.4674966e-07,6.8161658e-06,7.320387e-07,False,False
108,7.2506446e-06,6.5009397e-07,6.735404e-06,9.4361036e-07,False,False
109,7.1420654e-06,3.8837638e-07,6.673101e-06,7.4687813e-07,False,False
110,7.0203687e-06,5.0937285e-07,7.0482724e-06,8.603728e-07,False,False
111,7.5309026e-06,5.465931e-07,7.2124835e-06,1.1360804e-06,True,True
112,7.1618038e-06,1.5317174e-07,6.6564257e-06,7.6922805e-07,False,False
113,7.1551285e-06,5.0460864e-07,7.151425e-06,8.7817983e-07,False,False
114,7.1085697e-06,5.533992e-07,7.197877e-06,8.369465e-07,False,False
115,7.172316e-06,3.0552744e-07,6.978e-06,9.505927e-07,False,False
116,7.144714e-06,2.1567737e-07,7.0388364e-06,9.2985476e-07,False,False
117,7.3844762e-06,4.657549e-07,7.0889682e-06,7.9857756e-07,False,False
118,7.0235265e-06,1.274855e-07,7.095289e-06,5.767556e-07,False,False
119,6.9583775e-06,5.330369e-07,6.8006834e-06,8.148057e-07,False,False
120,7.649147e-06,3.7701554e-07,6.870495e-06,5.327809e-07,True,False
121,7.234372e-06,1.6084283e-07,7.4001846e-06,1.0548208e-06,False,True
122,6.964452e-06,6.752457e-07,6.990078e-06,9.260318e-07,False,False
123,6.909629e-06,7.0834034e-07,6.853622e-06,8.7645594e-07,False,False
124,7.233394e-06,6.6629576e-07,7.0073897e-06,6.70087e-07,False,False
125,7.173352e-06,3.7693016e-07,6.849417e-06,7.823114e-07,False,False
126,6.99042e-06,6.4906806e-07,7.1430186e-06,6.6102984e-07,False,False
127,7.261179e-06,2.7471646e-07,6.91076e-06,1.0392785e-06,False,False
128,7.317462e-06,4.982736e-07,7.0733686e-06,9.198319e-07,False,False
129,7.124376e-06,6.2528557e-07,7.1248587e-06,1.0788509e-06,False,False
130,7.2036687e-06,4.7333418e-07,6.7196816e-06,7.1912973e-07,False,False
131,7.2912744e-06,3.3204077e-07,6.9713396e-06,5.481225e-07,False,False
132,7.26159e-06,3.2712484e-07,7.119441e-06,7.3363753e-07,False,False
133,7.2887765e-06,3.2517033e-07,7.27597e-06,1.0074923e-06,False,True
134,7.4683967e-06,3.743204e-07,7.0805754e-06,1.1413517e-06,True,False
135,7.3054443e-06,8.677806e-07,6.9881366e-06,8.4526016e-07,False,False
136,7.3604324e-06,4.3957363e-07,7.294087e-06,1.0993947e-06,False,True
137,7.484147e-06,3.5212162e-07,7.0737333e-06,1.2011051e-06,True,False
138,7.3016536e-06,4.6548757e-07,6.73974e-06,1.2640996e-06,False,False
139,7.0370284e-06,4.134729e-07,7.0241585e-06,7.84653e-07,False,False
140,7.0096658e-06,4.821194e-07,7.1351706e-06,7.159408e-07,False,False
141,7.550675e-06,2.3089096e-07,7.029526e-06,1.2914555e-06,True,False
142,7.4452464e-06,2.9706274e-07,7.3318724e-06,9.3714755e-07,True,True
143,7.4895142e-06,2.2419272e-07,6.845216e-06,1.0444595e-06,True,False
144,7.459616e-06,5.702201e-07,7.0382093e-06,8.9938135e-07,True,False
145,7.0866163e-06,4.962853e-07,7.3292167e-06,1.029239e-06,False,True
146,7.416227e-06,3.3912454e-07,6.844902e-06,7.585323e-07,False,False
147,7.295121e-06,4.6661535e-07,6.768926e-06,7.9581844e-07,False,False
148,7.450736e-06,6.1446235e-07,6.8141767e-06,1.0180696e-06,True,False
149,7.268759e-06,4.1822443e-07,6.940917e-06,7.1543957e-07,False,False
150,7.105105e-06,4.0328052e-07,6.965308e-06,7.9122634e-07,False,False
151,7.345453e-06,5.5863836e-07,7.0143237e-06,6.9773193e-07,False,False
152,7.1677687e-06,5.684201e-07,7.200984e-06,8.5440894e-07,False,False
153,7.5847674e-06,5.2062234e-07,7.017866e-06,9.561506e-07,True,False
154,7.2443827e-06,4.128299e-07,6.942157e-06,7.472509e-07,False,False
155,7.5732023e-06,3.999309e-07,6.9448665e-06,8.567696e-07,True,False
156,7.010999e-06,3.0780427e-07,7.3520546e-06,9.431639e-07,False,True
157,7.182551e-06,7.425051e-07,7.2426074e-06,1.0551367e-06,False,True
